Bildname,Rot,Grün,Blau,Weiß,Grau,Schwarz
bild_2024-01-25-08-25-36.jpg,38.36,39.29,22.26,0.01,0.08,0.00
bild_2024-01-25-14-25-38.jpg,38.16,38.81,22.94,0.01,0.09,0.00
bild_2024-01-26-02-25-44.jpg,37.27,38.64,23.98,0.01,0.09,0.00
bild_2024-01-26-08-25-47.jpg,37.29,38.94,23.66,0.01,0.09,0.00
bild_2024-01-26-14-25-50.jpg,36.91,38.93,24.06,0.01,0.09,0.00
bild_2024-01-27-02-25-55.jpg,36.20,38.45,25.24,0.01,0.10,0.00
bild_2024-01-27-08-25-58.jpg,36.02,38.61,25.26,0.01,0.10,0.00
bild_2024-01-27-14-26-01.jpg,36.22,38.69,24.99,0.01,0.09,0.00
bild_2024-01-28-02-26-07.jpg,35.69,37.97,26.23,0.01,0.10,0.00
bild_2024-01-28-08-26-10.jpg,35.72,37.65,26.51,0.01,0.10,0.00
bild_2024-01-28-14-26-13.jpg,35.81,37.01,27.06,0.01,0.10,0.00
bild_2024-01-29-02-26-19.jpg,35.95,35.38,28.54,0.02,0.11,0.00
bild_2024-01-29-08-26-21.jpg,35.43,34.43,30.01,0.02,0.12,0.00
bild_2024-01-29-14-26-24.jpg,35.55,34.62,29.69,0.02,0.11,0.00
bild_2024-01-30-02-26-30.jpg,35.41,34.05,30.41,0.02,0.11,0.00
bild_2024-01-30-08-26-33.jpg,35.37,33.76,30.73,0.02,0.12,0.00
bild_2024-01-30-14-26-36.jpg,35.44,34.20,30.22,0.02,0.12,0.00
bild_2024-01-31-02-26-42.jpg,35.29,33.51,31.07,0.02,0.12,0.00
bild_2024-01-31-08-26-45.jpg,35.04,33.55,31.27,0.02,0.13,0.00
bild_2024-01-31-14-26-49.jpg,35.50,34.40,29.98,0.02,0.11,0.00
bild_2024-02-01-02-26-57.jpg,35.05,33.53,31.27,0.02,0.13,0.00
bild_2024-02-01-08-27-00.jpg,35.01,33.57,31.27,0.02,0.13,0.00
bild_2024-02-01-14-27-03.jpg,35.58,33.90,30.38,0.02,0.12,0.00
bild_2024-02-02-02-27-11.jpg,35.55,33.81,30.50,0.02,0.13,0.00
bild_2024-02-02-08-27-15.jpg,35.55,33.84,30.46,0.01,0.13,0.00
bild_2024-02-02-14-27-20.jpg,35.91,33.87,30.07,0.01,0.14,0.00
bild_2024-02-03-02-27-27.jpg,36.00,34.18,29.67,0.01,0.14,0.00
bild_2024-02-03-08-27-32.jpg,35.95,34.33,29.57,0.01,0.14,0.00
bild_2024-02-03-14-27-36.jpg,36.27,34.31,29.30,0.01,0.12,0.00
bild_2024-02-04-02-27-43.jpg,34.95,34.68,30.22,0.01,0.14,0.00
bild_2024-02-04-08-17-53.jpg,35.19,34.54,30.12,0.01,0.14,0.00
