Bildname,Rot,Grün,Blau,Weiß,Grau,Schwarz
Beispielaufnahme_NDVI.jpg,39.39,35.01,25.50,0.01,0.09,0.00
bild_2024-01-15-07-17-37.jpg,38.82,33.86,27.21,0.01,0.10,0.00
bild_2024-01-15-13-17-40.jpg,39.39,35.01,25.50,0.01,0.09,0.00
bild_2024-01-16-01-17-46.jpg,39.29,35.06,25.56,0.01,0.09,0.00
bild_2024-01-16-07-17-48.jpg,39.08,34.59,26.23,0.01,0.09,0.00
bild_2024-01-16-13-17-51.jpg,39.38,35.16,25.36,0.01,0.08,0.00
bild_2024-01-17-01-17-57.jpg,39.61,35.21,25.08,0.01,0.09,0.00
bild_2024-01-17-07-17-59.jpg,39.65,34.62,25.63,0.01,0.09,0.00
bild_2024-01-17-13-18-02.jpg,39.90,34.92,25.09,0.01,0.08,0.00
bild_2024-01-18-01-18-08.jpg,40.41,34.25,25.25,0.01,0.08,0.00
bild_2024-01-18-07-18-11.jpg,40.94,34.43,24.53,0.01,0.10,0.00
bild_2024-01-18-08-17-41.jpg,40.86,33.64,25.40,0.01,0.09,0.00
bild_2024-01-18-08-24-15.jpg,41.05,33.85,25.00,0.01,0.09,0.00
bild_2024-01-18-14-24-20.jpg,41.22,33.26,25.43,0.01,0.09,0.00
bild_2024-01-19-02-24-25.jpg,41.90,32.54,25.45,0.01,0.09,0.00
bild_2024-01-19-08-24-28.jpg,42.26,32.96,24.67,0.01,0.10,0.00
bild_2024-01-19-14-24-31.jpg,42.48,32.98,24.45,0.01,0.08,0.00
bild_2024-01-20-02-24-36.jpg,43.61,32.42,23.88,0.01,0.08,0.00
bild_2024-01-20-08-24-39.jpg,43.01,32.91,23.99,0.01,0.08,0.00
bild_2024-01-20-14-24-42.jpg,43.71,32.98,23.22,0.01,0.08,0.00
bild_2024-01-21-02-24-47.jpg,44.32,33.33,22.26,0.01,0.07,0.00
bild_2024-01-21-08-24-50.jpg,43.18,35.58,21.15,0.01,0.08,0.00
bild_2024-01-21-14-24-53.jpg,44.64,34.24,21.04,0.01,0.07,0.00
bild_2024-01-22-02-24-59.jpg,45.11,35.42,19.39,0.01,0.07,0.00
bild_2024-01-22-08-25-01.jpg,36.08,34.20,29.58,0.01,0.13,0.00
bild_2024-01-22-14-25-04.jpg,44.10,36.43,19.39,0.01,0.07,0.00
bild_2024-01-23-02-25-10.jpg,42.77,39.26,17.90,0.01,0.07,0.00
bild_2024-01-23-08-25-13.jpg,44.32,38.09,17.52,0.01,0.06,0.00
bild_2024-01-23-14-25-16.jpg,43.66,38.26,18.01,0.01,0.06,0.00
bild_2024-01-24-02-25-22.jpg,45.22,39.28,15.44,0.01,0.06,0.00
bild_2024-01-24-08-25-24.jpg,43.91,40.22,15.81,0.01,0.06,0.00
bild_2024-01-24-14-25-27.jpg,42.20,41.01,16.73,0.01,0.06,0.00
bild_2024-01-25-02-25-33.jpg,41.63,43.06,15.24,0.01,0.05,0.00
