Bildname,Rot,Grün,Blau,Weiß,Grau,Schwarz
bild_2024-01-25-08-25-36.jpg,38.12,38.58,23.20,0.01,0.09,0.00
bild_2024-01-25-14-25-38.jpg,37.75,38.21,23.93,0.01,0.09,0.00
bild_2024-01-26-02-25-44.jpg,37.11,38.05,24.72,0.01,0.10,0.00
bild_2024-01-26-08-25-47.jpg,37.15,38.13,24.60,0.01,0.10,0.00
bild_2024-01-26-14-25-50.jpg,36.73,38.29,24.88,0.01,0.10,0.00
bild_2024-01-27-02-25-55.jpg,36.10,37.90,25.88,0.01,0.11,0.00
bild_2024-01-27-08-25-58.jpg,35.94,37.94,26.01,0.01,0.10,0.00
bild_2024-01-27-14-26-01.jpg,36.08,38.02,25.78,0.01,0.10,0.00
bild_2024-01-28-02-26-07.jpg,35.57,37.51,26.80,0.01,0.10,0.00
bild_2024-01-28-08-26-10.jpg,35.73,37.19,26.96,0.01,0.10,0.00
bild_2024-01-28-14-26-13.jpg,35.67,36.68,27.52,0.01,0.10,0.00
bild_2024-01-29-02-26-19.jpg,35.88,35.28,28.72,0.02,0.11,0.00
bild_2024-01-29-08-26-21.jpg,35.31,34.50,30.05,0.02,0.12,0.00
bild_2024-01-29-14-26-24.jpg,35.27,34.63,29.97,0.02,0.12,0.00
bild_2024-01-30-02-26-30.jpg,35.40,34.08,30.39,0.02,0.12,0.00
bild_2024-01-30-08-26-33.jpg,35.33,33.91,30.62,0.02,0.12,0.00
bild_2024-01-30-14-26-36.jpg,35.33,34.16,30.38,0.02,0.12,0.00
bild_2024-01-31-02-26-42.jpg,35.24,33.68,30.94,0.02,0.12,0.00
bild_2024-01-31-08-26-45.jpg,35.06,33.67,31.13,0.02,0.13,0.00
bild_2024-01-31-14-26-49.jpg,35.30,34.39,30.17,0.02,0.11,0.00
bild_2024-02-01-02-26-57.jpg,34.93,33.58,31.34,0.02,0.13,0.00
bild_2024-02-01-08-27-00.jpg,34.96,33.56,31.34,0.02,0.13,0.00
bild_2024-02-01-14-27-03.jpg,35.34,33.87,30.65,0.02,0.12,0.00
bild_2024-02-02-02-27-11.jpg,35.28,33.69,30.89,0.02,0.12,0.00
bild_2024-02-02-08-27-15.jpg,35.24,33.69,30.93,0.02,0.12,0.00
bild_2024-02-02-14-27-20.jpg,35.41,33.71,30.73,0.02,0.13,0.00
bild_2024-02-03-02-27-27.jpg,35.47,33.84,30.55,0.02,0.12,0.00
bild_2024-02-03-08-27-32.jpg,35.46,33.73,30.67,0.02,0.13,0.00
bild_2024-02-03-14-27-36.jpg,35.63,33.74,30.49,0.02,0.13,0.00
bild_2024-02-04-02-27-43.jpg,35.71,34.27,29.87,0.02,0.13,0.00
bild_2024-02-04-08-17-53.jpg,35.82,34.29,29.74,0.01,0.13,0.00
