Bildname,Rot,Grün,Blau,Weiß,Grau,Schwarz
bild_2024-01-20-02-24-36.jpg,44.19,32.71,23.01,0.01,0.07,0.00
bild_2024-01-25-02-25-33.jpg,41.98,44.63,13.34,0.01,0.04,0.00
bild_2024-01-24-08-25-24.jpg,45.19,40.93,13.82,0.01,0.05,0.00
bild_2024-01-24-02-25-22.jpg,46.22,40.07,13.66,0.01,0.04,0.00
bild_2024-01-19-14-24-31.jpg,42.82,33.50,23.58,0.01,0.08,0.00
bild_2024-01-17-01-17-57.jpg,39.46,35.83,24.62,0.01,0.08,0.00
bild_2024-01-16-01-17-46.jpg,39.11,35.84,24.95,0.01,0.08,0.00
bild_2024-01-22-14-25-04.jpg,45.23,36.95,17.76,0.01,0.06,0.00
bild_2024-01-16-13-17-51.jpg,39.18,35.99,24.74,0.01,0.08,0.00
bild_2024-01-23-14-25-16.jpg,45.02,38.76,16.16,0.01,0.05,0.00
bild_2024-01-18-14-24-20.jpg,41.25,34.01,24.64,0.01,0.08,0.00
bild_2024-01-20-08-24-39.jpg,43.59,33.23,23.10,0.01,0.07,0.00
bild_2024-01-17-13-18-02.jpg,39.84,35.68,24.39,0.01,0.08,0.00
bild_2024-01-19-08-24-28.jpg,42.62,33.15,24.13,0.01,0.09,0.00
bild_2024-01-18-08-24-15.jpg,41.26,34.28,24.36,0.01,0.09,0.00
bild_2024-01-18-07-18-11.jpg,41.12,34.76,24.02,0.01,0.09,0.00
bild_2024-01-21-14-24-53.jpg,45.45,34.79,19.68,0.01,0.06,0.00
bild_2024-01-22-08-25-01.jpg,36.30,34.25,29.32,0.02,0.12,0.00
bild_2024-01-23-02-25-10.jpg,44.00,39.86,16.08,0.01,0.06,0.00
bild_2024-01-15-13-17-40.jpg,39.25,35.75,24.90,0.01,0.08,0.00
bild_2024-01-19-02-24-25.jpg,42.16,33.10,24.65,0.01,0.08,0.00
Beispielaufnahme_NDVI.jpg,39.25,35.75,24.90,0.01,0.08,0.00
bild_2024-01-18-01-18-08.jpg,40.41,34.95,24.55,0.01,0.08,0.00
bild_2024-01-24-14-25-27.jpg,44.05,41.32,14.58,0.01,0.05,0.00
bild_2024-01-20-14-24-42.jpg,44.36,33.30,22.26,0.01,0.07,0.00
bild_2024-01-18-08-17-41.jpg,41.07,34.02,24.81,0.01,0.08,0.00
bild_2024-01-21-02-24-47.jpg,45.28,33.26,21.38,0.01,0.07,0.00
bild_2024-01-23-08-25-13.jpg,45.95,38.36,15.62,0.01,0.05,0.00
bild_2024-01-16-07-17-48.jpg,38.87,35.28,25.75,0.01,0.09,0.00
bild_2024-01-17-07-17-59.jpg,39.60,35.30,25.01,0.01,0.08,0.00
bild_2024-01-15-07-17-37.jpg,38.75,34.31,26.83,0.01,0.10,0.00
bild_2024-01-22-02-24-59.jpg,46.46,35.30,18.17,0.01,0.06,0.00
bild_2024-01-21-08-24-50.jpg,44.13,35.91,19.88,0.01,0.07,0.00
